bootstrap_index,density_crossing_radius_interpolated_mpc_h,density_crossing_radius_discrete_mpc_h,crossing_detected
4784,119.91194895707092,121.99301547856197,True
4785,120.14060866258947,121.99301547856197,True
4786,120.8677936438592,121.99301547856197,True
4787,111.69659979870524,111.92819281414471,True
4788,100.57606653964484,102.6937509290598,True
4789,116.71546145372848,116.85229034325097,True
4790,117.2892100001871,121.99301547856197,True
4791,112.64924313526183,116.85229034325097,True
4792,114.4986132813506,116.85229034325097,True
4793,111.52964198963514,111.92819281414471,True
4794,115.88237034780911,116.85229034325097,True
4795,108.30412021185786,111.92819281414471,True
4796,115.54574580700965,116.85229034325097,True
4797,104.43252519569268,107.21159431141558,True
4798,115.24508356314507,116.85229034325097,True
4799,120.65686688775993,121.99301547856197,True
4800,121.95557618703857,121.99301547856197,True
4801,115.74661805833286,116.85229034325097,True
4802,114.16151666653693,116.85229034325097,True
4803,122.72197830603498,127.3598983968242,True
4804,114.13169676568333,116.85229034325097,True
4805,115.44966098821935,116.85229034325097,True
4806,114.65617049430557,116.85229034325097,True
4807,117.26651642748662,121.99301547856197,True
4808,120.2631865337421,121.99301547856197,True
4809,119.41602040435264,121.99301547856197,True
4810,109.53760945962593,111.92819281414471,True
4811,115.51897333771272,116.85229034325097,True
4812,117.72769248802372,121.99301547856197,True
4813,109.38534884291433,111.92819281414471,True
4814,120.11939276807988,121.99301547856197,True
4815,118.73328959597332,121.99301547856197,True
4816,108.6982202552302,111.92819281414471,True
4817,114.92151902700704,116.85229034325097,True
4818,113.35001648379566,116.85229034325097,True
4819,116.34052298181105,116.85229034325097,True
4820,110.55770507155049,111.92819281414471,True
4821,105.40885424548877,107.21159431141558,True
4822,106.90214324563652,107.21159431141558,True
4823,113.71961769903868,116.85229034325097,True
4824,109.51281009038262,111.92819281414471,True
4825,99.05822384271553,102.6937509290598,True
4826,120.3501329789988,121.99301547856197,True
4827,119.93470011921917,121.99301547856197,True
4828,110.69233756032918,111.92819281414471,True
4829,123.28032640610202,127.3598983968242,True
4830,112.29069215311532,116.85229034325097,True
4831,114.81441393687322,116.85229034325097,True
4832,122.32295152230598,127.3598983968242,True
4833,116.59087938709936,116.85229034325097,True
