n2,k_h_mpc,Nmodes,P_raw,W2_at_Rhom,contribution_raw,contribution_clust,fraction_raw
61,0.0081788743348434,72,49178.88051427464,0.011779471696335626,1.931004103584566e-07,1.8524742922756616e-07,0.004398643414026905
44,0.0069463227173962,24,40307.54491236105,0.04061448159822222,1.8189667123473377e-07,1.7287123087957328e-07,0.004143432908686408
65,0.008442776571134,96,44863.28030065061,0.008803234277484494,1.7552976308581434e-07,1.6770466595027256e-07,0.003998400805725203
66,0.0085074731231618,96,46950.879778205854,0.008185050653983684,1.707979241038725e-07,1.635223235225537e-07,0.0038906140209352723
74,0.0090083339542436,120,64779.27746718722,0.004571453061852389,1.645196812899769e-07,1.5944028899902982e-07,0.0037476016298495164
69,0.008698676167959,96,51732.237414415016,0.0065789821260309874,1.5126465123956795e-07,1.4541666712754042e-07,0.003445664671115307
32,0.0059238439175444,12,26110.65959784966,0.09730419723039475,1.4114870951804794e-07,1.3033713204800407e-07,0.003215233154437304
4,0.0020943951023931,6,6108.0639252459405,0.7473369353418063,1.2679949374347627e-07,8.52807751133759e-08,0.002888371687151424
52,0.0075514489327593,24,39310.87618061769,0.022683695447551635,9.907954922861596e-08,9.403872801804891e-08,0.0022569377551823525
68,0.0086354122289434,48,57202.94228089717,0.0070758659183924955,8.994674438159409e-08,8.680191508453076e-08,0.002048901160038025
77,0.0091891212183143,96,54519.53822515591,0.0036744437212837154,8.903509996387184e-08,8.576892776717522e-08,0.0020281347685709925
58,0.0079752189469295,24,46835.4850750331,0.014655089596638889,7.626424778629486e-08,7.300756120926399e-08,0.0017372269205859344
81,0.0094247779607693,102,58630.67116768971,0.002746047509750039,7.602900959542035e-08,7.34355202806564e-08,0.001731868418669253
70,0.0087614833097056,48,51604.09149224425,0.006116990671365122,7.01470547249623e-08,6.742839220435558e-08,0.0015978830894588395
73,0.008947259799511,48,60431.84827111496,0.004916716339736666,6.602805685223954e-08,6.384284959013435e-08,0.0015040562413873623
89,0.0098792419395245,144,62106.79772101805,0.0015337018458559837,6.350220686995305e-08,6.145727107547841e-08,0.0014465197847388232
75,0.009068996821171,56,56411.3905717832,0.004250434975844099,6.216335676504317e-08,5.995942751830919e-08,0.0014160220546439002
72,0.0088857658763167,36,63823.07133912535,0.00528805595034067,5.6249995360646485e-08,5.448731004386626e-08,0.001281321314506031
48,0.0072551974569368,8,44674.03535585825,0.030352702208112644,5.0221395984854115e-08,4.797304767314207e-08,0.001143995563147396
90,0.0099345882657961,120,61301.760120933184,0.0014260017285402178,4.856467549722695e-08,4.698022913218226e-08,0.001106257048515257
86,0.0097113105792145,120,45806.20800847011,0.001908110868209925,4.8557401851359064e-08,4.643727866445915e-08,0.0011060913617907525
67,0.0085716813783851,24,50224.66567934148,0.00761027732496201,4.246929270814335e-08,4.07781199692629e-08,0.0009674100346150538
78,0.0092485983519724,48,54947.95952115357,0.003416415721303625,4.171668283591651e-08,4.019827584867045e-08,0.0009502662986092269
83,0.0095404237344191,72,43880.22591686205,0.0023739210428795937,3.472273055678311e-08,3.314011652819671e-08,0.0007909507276401085
101,0.0105242051402681,168,61035.61125717484,0.0006401625743665675,3.038988869033452e-08,2.939408024131986e-08,0.0006922527170843816
94,0.0101529569513429,96,62510.07371528516,0.0010657037615993405,2.9607653642769534e-08,2.866036141023679e-08,0.0006744341478032208
82,0.0094827771417995,48,50833.7461922006,0.0025532136550125636,2.8842092202970995e-08,2.7707330578520962e-08,0.0006569953874248676
85,0.0096546843788252,48,60207.33513095164,0.0020522227302395358,2.7457524818419622e-08,2.6545425827202047e-08,0.000625456261246793
98,0.0103667268557028,108,67504.66586410871,0.0007964397831759203,2.6881700722086848e-08,2.6085260938910927e-08,0.0006123395368220734
80,0.0093664196413876,24,57429.7424983806,0.002953445322133345,1.8846178259240527e-08,1.818985707654423e-08,0.00042929798919484787
76,0.0091292565991784,24,42126.61595217811,0.003951959527843632,1.849807569866887e-08,1.7619862470259174e-08,0.00042136854444316626
99,0.0104194840760943,72,67176.15252088053,0.0007405119258060527,1.6581580690492786e-08,1.6087906073288753e-08,0.0003777126136759534
84,0.0095977240918616,48,32104.455621781704,0.002207218775742595,1.5747012718531444e-08,1.4766026595979177e-08,0.00035870195022572537
91,0.0099896279571426,48,50654.92483661352,0.0013258645644160909,1.4924793300894756e-08,1.4335520161154273e-08,0.0003399725750806442
93,0.010098807461507,48,55267.8906594209,0.0011461920372099707,1.4077248041604345e-08,1.3567829358399912e-08,0.0003206663013863158
110,0.010983100574771,144,57076.91123169496,0.0003324315891667334,1.264944553698729e-08,1.220620341809831e-08,0.0002881423203558949
88,0.009823583795562,24,64392.74885633282,0.0016495361154924108,1.1802018312705957e-08,1.1435454731485423e-08,0.0002688387353866414
104,0.010679361496276,72,66444.67875633154,0.0005145500391573008,1.1396370685288223e-08,1.1053337325850023e-08,0.00025959846882561016
105,0.0107305817493449,96,51342.383251332816,0.00047841713644762677,1.091692265488855e-08,1.0491662978046215e-08,0.0002486770993817501
64,0.0083775804095727,6,36364.96465345941,0.009468106798651099,9.56409358522572e-09,9.038087651967325e-09,0.00021786094178513857
102,0.0105761768397507,48,62885.98896611889,0.0005952088667429366,8.317844050340543e-09,8.053306776232571e-09,0.00018947256447055506
97,0.0103136997721243,48,43301.18263151629,0.0008565916444017292,8.242540274415585e-09,7.861832876903707e-09,0.0001877572161840921
106,0.0107815586716674,72,52483.84982653105,0.0004448215703599592,7.78198283279127e-09,7.485435119217965e-09,0.00017726615635868165
117,0.0113271733991389,120,62337.870560827854,0.00019968988530391643,6.915690123545613e-09,6.693812473207928e-09,0.00015753283361188172
114,0.0111810101994616,96,56514.60140387988,0.00024843840505865607,6.2401766379136025e-09,6.019342500083685e-09,0.00014214527985606198
100,0.0104719755119659,30,64253.18547320342,0.0006885114528990681,6.144313067159525e-09,5.953059885798673e-09,0.00013996159902721354
96,0.0102603986412949,24,59444.79850987149,0.0009212865313342558,6.085076913891471e-09,5.88034657359497e-09,0.00013861225587998184
109,0.010933063409873,72,49454.47969312532,0.00035753879656772944,5.8939650514544144e-09,5.655605853742595e-09,0.00013425890969345284
122,0.0115666750092808,120,71402.47724642753,0.0001387559534447642,5.504177115914519e-09,5.3500038343092245e-09,0.00012537991180656608
113,0.0111318626639584,96,43891.9603446956,0.0002672019484927435,5.212452145452842e-09,4.974939302348182e-09,0.00011873469485624251
107,0.0108322956985968,72,36850.466070732735,0.0004135851632044669,5.080268674674889e-09,4.8045452325385776e-09,0.00011572368130064549
125,0.0117080245517345,144,59428.60372536014,0.00011152929605258273,4.418686892584874e-09,4.269981164514764e-09,0.00010065347848114648
116,0.0112786627976427,72,59771.39527052832,0.00021477165108547142,4.2790670833112354e-09,4.135885982587587e-09,9.747307221795344e-05
126,0.0117547633585389,144,59063.887349330704,0.00010369744900784369,4.0831829644081624e-09,3.944919699064371e-09,9.301101857484614e-05
129,0.0118938778263839,144,69453.55258819516,8.334996231276304e-05,3.859300660475715e-09,3.748167377392031e-09,8.791119294588157e-05
